ID,Startup,Investor,Round,Amount USD,Date,Status
3,Stripe,Sequoia Capital,Series I,6500000000,2023-03-15,Concluded
4,GitHub,Microsoft,M&A (Acquisition),7500000000,2018-10-26,Concluded
147,Epic Games,Sony & KIRKBI,Corporate Round,2000000000,2022-04-11,Concluded
148,Epic Games,The Walt Disney Company,Corporate Round,1500000000,2024-02-07,Concluded
149,OpenAI,Microsoft,Corporate Round,1000000000,2019-07-22,Concluded
150,OpenAI,Microsoft,Corporate Round,10000000000,2023-01-23,Concluded
151,Anthropic,Amazon,Corporate Round,4000000000,2023-09-25,Concluded
152,Anthropic,Google,Corporate Round,2000000000,2023-10-27,Concluded
